structure_code,temperature_k,source,temperature_column,temperature_remark,line_number
VOTPOM,100.0,temperature_column,100.0,,833
VOZQEJ,150.0,temperature_column,150.0,,834
VUCCEC,150.0,temperature_column,150.0,,835
VUGZUV,100.0,temperature_column,100.0,,836
VUHLUG,110.0,temperature_column,110.0,,837
VUJVII,173.0,temperature_column,173.0,,838
VUMBIR,100.0,temperature_column,100.0,,839
VUWJII,150.0,temperature_column,150.0,,840
VUYKUX,293.0,temperature_column,293.0,,841
WAFGEQ,133.0,temperature_column,133.0,,842
WAFLEV,100.0,temperature_column,100.0,,843
WAKFIZ,296.0,temperature_column,296.0,,844
WALRAF,150.0,temperature_column,150.0,,845
WAPREM,133.0,temperature_column,133.0,,846
WAPXAM,295.0,temperature_column,295.0,,847
WAPZIX,150.0,temperature_column,150.0,,848
WATRAN,173.0,temperature_column,173.0,,849
WATVIX,153.0,temperature_column,153.0,,850
WAVJUA,110.0,temperature_column,110.0,,851
WAVKAH,110.0,temperature_column,110.0,,852
WAVLIO,295.0,temperature_column,295.0,,853
WAWJIQ,100.0,temperature_column,100.0,,854
WAWWOG10,295.0,temperature_column,295.0,,855
WAYNES,100.0,temperature_column,100.0,,856
WAYYEA,193.0,temperature_column,193.0,,857
WECQIE01,296.0,temperature_column,296.0,,858
WEHNED,173.0,temperature_column,173.0,,859
WEKYUI,113.0,temperature_column,113.0,,860
WELTEP,296.0,temperature_column,296.0,,861
WEPDEC,173.0,temperature_column,173.0,,862
WEPDIG,103.0,temperature_column,103.0,,863
WERKOU,193.0,temperature_column,193.0,,864
WERZID,93.0,temperature_column,93.0,,865
WIFVEP,100.0,temperature_column,100.0,,866
WIFYUG,100.0,temperature_column,100.0,,867
WIJVUI,100.0,temperature_column,100.0,,868
WIKKEJ,100.0,temperature_column,100.0,,869
WIWQUP,293.0,temperature_column,293.0,,870
WOFMOV,90.0,temperature_column,90.0,,871
WUCRUI,294.0,temperature_column,294.0,,872
WUCSIX,293.0,temperature_column,293.0,,873
WUJYEI,100.0,temperature_column,100.0,,874
XADBUB,100.0,temperature_column,100.0,,875
XAHSOO,93.0,temperature_column,93.0,,876
XAPBIA,90.0,temperature_column,90.0,,877
XEBRAX,193.0,temperature_column,193.0,,878
XEBZIN,90.0,temperature_column,90.0,,879
XEDQIH,150.0,temperature_column,150.0,,880
XEDTAE,100.0,temperature_column,100.0,,881
XEFMIG,100.0,temperature_column,100.0,,882
XEKSIQ,173.0,temperature_column,173.0,,883
XELYIY,100.0,temperature_column,100.0,,884
XENDUS,100.0,temperature_column,100.0,,885
XEQSIX,100.0,temperature_column,100.0,,886
XEXPEY,100.0,temperature_column,100.0,,887
XEYLAP,153.0,temperature_column,153.0,,888
XICQUW,193.0,temperature_column,193.0,,889
XIDKAZ,93.0,temperature_column,93.0,,890
XIDROU,103.0,temperature_column,103.0,,891
XIGTAI,223.0,temperature_column,223.0,,892
XIHYIZ,100.0,temperature_column,100.0,,893
XIJGAA,110.0,temperature_column,110.0,,894
XIJRAK,100.0,temperature_column,100.0,,895
XIJWUJ,150.0,temperature_column,150.0,,896
XIJXAQ,150.0,temperature_column,150.0,,897
XIJXOE,150.0,temperature_column,150.0,,898
XINZOK,163.0,temperature_column,163.0,,899
XIQMIT,298.0,temperature_column,298.0,,900
XIRHUE,100.0,temperature_column,100.0,,901
XIVVAC,100.0,temperature_column,100.0,,902
XIWNUP,100.0,temperature_column,100.0,,903
XIWZUA,150.0,temperature_column,150.0,,904
XIXQAY,100.0,temperature_column,100.0,,905
XIXYIO,293.0,temperature_column,293.0,,906
XIYREE,298.0,temperature_column,298.0,,907
